	EVENT_ID	PUBLISH_DATE	ActionGeo_CountryCode	ActionGeo_Lat	ActionGeo_Long	SOURCEURL	title	text
0	1116075000	20220720	IN09	22.4667	70.0667	https://economictimes.indiatimes.com/industry/banking/finance/reliances-financial-unit-valued-at-21-bn/articleshow/101988515.cms	reliance Reliances financial unit valued at 21 bn  The Economic Times	reliance Reliances financial unit valued at 21 bn  The Economic Times JFSL the demerged financial services unit of Reliance Industries was valued at about USD 21 billion ahead of Adani group firms Coal India and Indian Oil Jio Financial Services Ltd JFSL stock was priced at Rs 26185 based on the difference between Reliances stock price at Wednesdays close of Rs 284185 and Rs 2580 its price at the end of an hourlong special premarket session
3	1116075003	20220720	SP56	41.3833	2.18333	https://thehardtackle.com/transfer-news/2023/07/20/barcelona-agree-deal-to-sign-joao-felix/	Barcelona agree deal to sign Joao Felix  TheHardTacklecom	Barcelona agree deal to sign Joao Felix  TheHardTacklecom Barcelona will sign Joao Felix from Atletico Madrid on a loan deal with the obligation to land him permanently next year
6	1116075006	20230620	IN38	23.35	85.3333	https://timesofindia.indiatimes.com/city/ranchi/jmm-congress-reluctant-to-invite-regional-parties-into-india-fold/articleshow/101982991.cms	JMM Congress reluctant to invite regional parties into INDIA fold  Ranchi News  Times of India	JMM Congress reluctant to invite regional parties into INDIA fold  Ranchi News  Times of India Jharkhand Mukti Morcha and the Congress are reluctant to approach other regional parties from the state into the newly formed Indian National Developm
10	1116075010	20230713	YM	15.5	47.5	https://www.onmanorama.com/news/kerala/2023/07/20/nimisha-priya-yemen-jail-family-come-last-respect-oommen-chandy-kerala-news-update.html	Nimisha Priya still in Yemen jail her family come to pay last respect to Oommen Chandy	Nimisha Priya still in Yemen jail her family come to pay last respect to Oommen Chandy  The family came to offer their respects to the Congress leader to mark their respect for the efforts he put in to get Nimisha releasedNimisha Priya oommen chendy oommen chandy death yemen jail V Muraleedharan
12	1116075012	20230713	EI07	53.3331	-6.24889	https://www.sundayworld.com/showbiz/irish-showbiz/irish-stars-get-dolled-up-in-pink-for-dublin-barbie-premiere/a1138893014.html	Barbie movie Irish stars doll up in pink for Dublin premiere of new Margot Robbie film  SundayWorldcom	Barbie movie Irish stars doll up in pink for Dublin premiere of new Margot Robbie film  SundayWorldcom Irish celebs matched the pink carpet on Wednesday night at the premiere of the highly anticipated Barbie movie
14	1116075014	20230719	KN12	39.0194	125.755	https://www.theguardian.com/world/2023/jul/20/north-korea-not-responding-travis-king-us-soldier-bolted-across-border	North Korea not responding about US soldier who crossed border  North Korea  The Guardian	North Korea not responding about US soldier who crossed border  North Korea  The Guardian Travis King had finished prison term in South Korea for assault and was supposed to be returning to Texas
17	1116075017	20230719	USCA	37.4289	-122.17	https://www.wwno.org/npr-news/npr-news/2023-07-20/up-first-briefing-climate-conscious-buildings-texas-abortion-bans-gmo-mosquitoes	Up First briefing Climateconscious buildings Texas abortion bans GMO mosquitoes  WWNO	Up First briefing Climateconscious buildings Texas abortion bans GMO mosquitoes  WWNO Its time for infrastructure to take climate change into account Texas abortion bans are in court today Scientists want to genetically modify mosquitos to help fight malaria
22	1116075022	20230720	UKV2	55.8333	-4.25	https://uk.news.yahoo.com/glasgow-afghan-united-challenges-tory-113934339.html	Glasgow Afghan United challenges Tory MP Tobias Ellwood who praised the Taliban	Glasgow Afghan United challenges Tory MP Tobias Ellwood who praised the Taliban The charity Glasgow Afghan United has written to Conservative MP Tobias Ellwood expressing serious concern and urges him to consider the wider implications over a video he posted in which he credited the Taliban for improving safety in Afghanistan
26	1116075026	20230720	AR24	-26.9167	-65.2833	https://www.express.co.uk/news/politics/1793238/EU-Falkland-Islands-row-Rishi-Sunak	EU backs down in Falkland Islands row as Rishi Sunak blasts unacceptable move  Politics  News  Expresscouk	EU backs down in Falkland Islands row as Rishi Sunak blasts unacceptable move  Politics  News  Expresscouk The EU has caved into diplomatic pressure from the UK after they referred to the Falklands as Islas Malvinas
27	1116075027	20230720	AS06	-41.6333	147.733	https://www.goldseiten.de/artikel/587617--Tinone-Defines-New-Zone-Of-Strong-Lithium-in-soil-Anomalism-At-Its-Aberfoyle-Project-Tasmania-Australia.html	Tinone Defines New Zone Of Strong Lithiuminsoil Anomalism At Its Aberfoyle Project Tasmania Australia	Tinone Defines New Zone Of Strong Lithiuminsoil Anomalism At Its Aberfoyle Project Tasmania Australia TSXV TORC OTCQB TORCF TinOne Resources Inc is pleased to announce that it has defined a new zone of anomalous lithiuminsoil at its 100owned 9600 hectare Aberfoyle Project located in the tierone mining jurisdiction of Tasmania Australia  Veroeffentlicht am 20072023
28	1116075028	20230720	GM	51.5	10.5	https://www.theguardian.com/australia-news/2023/jul/20/behaviour-of-kgari-dingo-involved-in-attack-a-direct-result-of-people-not-heeding-advice-ranger-says	Behaviour of Kgari dingo involved in attack a direct result of people not heeding advice ranger says  Kgari Fraser Island  The Guardian	Behaviour of Kgari dingo involved in attack a direct result of people not heeding advice ranger says  Kgari Fraser Island  The Guardian Experts say they are dealing with a people problem on the island where safety messages are ignored
29	1116075029	20230720	AS05	-33.3526	138.21	https://www.hospitalitynet.org/appointment/79026610.html	Joel Gordon has been appointed General Manager at QT Canberra	Joel Gordon has been appointed General Manager at QT Canberra Joel Gordons recent appointment as General Manager of QT Canberra signifies his reunion with parent company EVT Gordon initially became part of the EVT family in 2008 beginning his journey at Rydges South Bank Brisbane In 2013 wearing the hat of general manager he successfully led the emerging brand Atura Hotels  Resorts More recently he held the position of Regional General Manager for Crystalbrook Collection in Queensland
30	1116075030	20230720	BR30	-8.98333	-36.2	https://en.mercopress.com/2023/07/20/brazilian-constitution-translated-to-indigenous-language	Brazilian Constitution translated to indigenous language  MercoPress	Brazilian Constitution translated to indigenous language  MercoPress Brazils Constitution has been translated for the first time into the indigenous Nheengatu language The new version of the 35yearold document was released Wednesday Agencia Brasil reported
32	1116075032	20230720	UK	54.0	-4.0	https://www.bbc.co.uk/news/technology-66256081	Apple slams UK surveillancebill proposals  BBC News	Apple slams UK surveillancebill proposals  BBC News The technology giant says it could remove services such as FaceTime from the UK over potential changes
